Analytics.Read,0,Low
AdministrativeUnit.Read.All,0,Medium
AdministrativeUnit.ReadWrite.All,1,High
AppCatalog.ReadWrite.All,1,Medium
Application.Read.All,0,Medium
Application.ReadWrite.All,1,High
Application.ReadWrite.OwnedBy,1,Low
Bookings.Read.All,0,Low
Bookings.ReadWrite.Appointments,1,Medium
Bookings.ReadWrite.All,1,Medium
Bookings.Manage,0,Medium
Calendars.Read,0,Low
Calendars.Read.Shared,0,Low
Calendars.ReadWrite,1,Medium
Calendars.Send,0,Medium
Calls.Initiate.All,0,Low
Calls.InitiateGroupCall.All,0,Low
Calls.JoinGroupCall.All,0,Low
Calls.JoinGroupCallasGuest.All,0,Low
Calls.AccessMedia.All,0,Medium
Contacts.Read,0,Low
Contacts.ReadWrite,1,Medium
Device.ReadWrite.All,1,High
Directory.Read.All,0,Medium
Directory.ReadWrite.All,1,High
EduAssignments.Read,0,Low
EduAssignments.ReadWriteBasic,1,Medium
EduRoster.ReadBasic,0,Low
Files.Read,0,Medium
Files.Read.All,0,Medium
Files.ReadWrite,1,High
Files.ReadWrite.All,1,High
Files.ReadWrite.AppFolder,1,Medium
Group.Read.All,0,Low
Group.ReadWrite.All,1,Medium
GroupMember.ReadWrite.All,1,High
Group.Create,0,Medium
IdentityProvider.Read.All,0,Low
IdentityProvider.ReadWrite.All,1,High
DeviceManagementServiceConfiguration.Read.All,0,Low
DeviceManagementServiceConfiguration.ReadWrite.All,1,High
DeviceManagementConfiguration.Read.All,0,Low
DeviceManagementConfiguration.ReadWrite.All,1,High
DeviceManagementApps.Read.All,0,Low
DeviceManagementApps.ReadWrite.All,1,High
DeviceManagementRBAC.Read.All,0,Low
DeviceManagementRBAC.ReadWrite.All,1,High
DeviceManagementManagedDevices.Read.All,0,Low
DeviceManagementManagedDevices.ReadWrite.All,1,High
DeviceManagementManagedDevices.PrivilegedOperations.All,0,High
Mail.Read,0,Medium
Mail.Read.Shared,0,Medium
Mail.ReadWrite,1,High
Mail.Send,0,High
MailboxSettings.ReadWrite,1,High
MailboxSettings.Read,0,Low
Member.Read.Hidden,0,Low
Notes.Create,0,Low
Notes.Read,0,Low
Notes.Read.All,0,Low
Notes.ReadWrite,1,Medium
Notes.ReadWrite.All,1,High
Notifications.ReadWrite.CreatedByApp,1,Low
OnlineMeetings.Read,0,Low
OnlineMeetings.ReadWrite,1,Medium
OnlineMeetings.Read.All,0,Low
Organization.Read.All,0,Medium
Organization.ReadWrite.All,1,High
OrgContact.Read.All,0,Low
People.Read,0,Low
People.Read.All,0,Low
Policy.Read.All,0,Low
Policy.ReadWrite.ConditionalAccess,1,High
Policy.ReadWrite.FeatureRollout,1,Medium
Policy.ReadWrite.TrustFramework,1,Medium
Presence.Read,0,Low
Presence.Read.All,0,Low
Reports.Read.All,0,Low
RoleManagement.Read.Directory,0,Low
RoleManagement.ReadWrite.Directory,1,High
ExternalItem.Read.All,0,Low
SecurityEvents.Read.All,0,Low
SecurityEvents.ReadWrite.All,1,High
Sites.Read.All,0,Medium
Sites.ReadWrite.All,1,High
Sites.Manage.All,0,High
Sites.FullControl.All,0,High
Tasks.Read,0,Low
Tasks.Read.Shared,0,Low
Tasks.ReadWrite,1,Medium
Tasks.ReadWrite.Shared,1,Medium
Agreement.Read.All,0,Low
Agreement.ReadWrite.All,1,Medium
AgreementAcceptance.Read,0,Low
ThreatAssessment.ReadWrite.All,1,Medium
ThreatAssessment.Read.All,0,Low
User.Read,0,Low
User.ReadWrite,1,High
User.ReadBasic.All,0,Low
User.Read.All,0,Low
User.ReadWrite.All,1,High
UserActivity.ReadWrite.CreatedByApp,1,Medium
user_impersonation,0,High
full_access_as_user,0,High
full_access_as_app,0,High